"product_code_faostat","product_code_hs","product_code_sitc","product_description_hs","product_description_faostat","root_product_hs","product_fraction_pf","value_fraction_vf","wf_type","global_average","alba","arad","arges","bacau","bihor","bistrita_nasaud","botosani","braila","brasov","bucuresti","buzau","caras_severin","cluj","constanta","covasna","dambovita","dolj","galati","gorj","harghita","hunedoara","ialomita","iasi","maramures","mehedinti","neamt","olt","prahova","salaj","satu_mare","sibiu","suceava","teleorman","timis","tulcea","vaslui","valcea","vrancea","calarasi","giurgiu","cntry_average"
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Green",1277.21127399482,1422.70279312562,1697.18920888961,1637.58703455911,1535.73486537808,1590.75265006125,1359.39974746185,1596.71610865807,1662.24661418484,1370.81820152806,1774.27667023447,1707.91246634609,1601.10838519631,1422.15599385437,1624.14987389561,1345.98754673717,1646.78670111652,1734.61621210925,1751.84331861561,1585.22555418316,1258.75549702158,1454.85921439488,1725.82207684087,1604.56891657931,1398.57755437186,1649.21075627532,1493.76435215545,1715.89792871319,1659.27443511858,1470.66402654991,1458.84328829784,1398.51874672411,1426.03894511863,1689.5381581101,1749.41730143277,1903.94153474373,1722.93744515538,1618.09464168646,1695.6299431583,1758.09305985463,1741.62751348289,1665.93601467444
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Blue",342.455126869744,1.00036696240848,9.92076787816673,5.08478178218595,5.98650838023171,0.741599425360677,NA,0.633756027464475,194.426289244223,0.697476495278199,22.9890357085924,21.2768237919546,0.267281727873798,1.21625830839084,82.0806558636031,2.30638549290663,17.1936386068111,77.2294353921516,83.2667469360777,0.140759758338307,NA,1.37771817456502,101.27510751701,13.3976770046308,NA,43.2837440276673,2.25596689898872,64.1023020791463,5.49945070748342,NA,0.796286158126191,0.165398310654331,1.84985337822095,95.4052956504263,3.00552454073993,25.0866513885853,8.37040700962854,5.80802119069043,39.092433361002,86.382316212373,57.0825520855491,45.4570059534914
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Grey",207.421846646418,61.5693707382852,78.3819361683744,74.3518675784351,74.6259588875639,70.6131132477789,62.0745352495092,76.7660007126854,83.5449145366715,62.9450968861478,91.5359857156609,81.3095997083001,63.5089035395755,64.456680548362,77.8818727103092,63.9048943402532,80.3027638355721,79.4866746654771,85.4853127423711,65.1996720822307,59.0273015584671,58.681645519211,84.8457617193854,77.1433224270775,61.3852880615052,72.1705944146983,76.5127590365463,78.6882957317598,81.2492181612866,64.2574671612237,67.925739711926,60.7301373654198,69.7651425601297,82.1546602722677,74.8364098871659,101.627059554946,82.4731588152332,71.6804369687634,84.597032115632,84.798224978359,87.197107748095,78.6358300834743
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Green",1292.39562789064,1439.61684888072,1717.36654532616,1657.05577992195,1553.99272307231,1609.66459649569,1375.56121367471,1615.69895273303,1682.00852935567,1387.11541806744,1795.37047469618,1728.21728814036,1620.14344763383,1439.06354888887,1643.45886917871,1361.98955961097,1666.36481835509,1755.238506145,1772.67042017782,1604.07179075304,1273.72043612308,1472.15556749617,1746.33982023191,1623.64512016101,1415.20479292567,1668.81769232573,1511.52323592191,1736.29768710023,1679.00101500879,1488.14827797774,1476.1870067719,1415.14528613272,1442.99266331137,1709.62453366564,1770.21556085726,1926.57688306012,1743.42089408844,1637.33164826208,1715.78874198627,1778.99446257959,1762.3331626248,1685.74179194063
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Blue",346.526465688704,1.01226000335807,10.0387126954789,5.14523311677388,6.05768005221471,0.750416062320351,NA,0.641290548965003,196.737760840697,0.705768568918605,23.262344957446,21.5297771042329,0.270459354339018,1.23071801209011,83.0564863718446,2.33380536795592,17.3980482441815,78.1475913010805,84.2566784994569,0.142433205815962,NA,1.39409742266379,102.479134685175,13.5569576758575,NA,43.7983305339362,2.28278736359703,64.8643937237512,5.56483190750514,NA,0.805752948056344,0.167364677953057,1.87184568984723,96.5395385139116,3.04125625498203,25.3848985153539,8.46992008540083,5.87707088590494,39.5571907233025,87.4092877764486,57.7611881810736,45.9974296715529
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Grey",209.887818243547,62.3013491771452,79.3137937882165,75.2358130094796,75.5131629019942,71.4526098315245,62.8125194267073,77.6786469958195,84.5381531451541,63.6934308905421,92.6242275982761,82.2762633779972,64.2639404598685,65.2229852845667,78.807785236593,64.664639067766,81.2574575575263,80.4316661658634,86.5016201208013,65.9748100057253,59.729058154755,59.3792927220625,85.8544656814778,78.0604545666714,62.1150780006493,73.0286073909204,77.4223946108729,79.6237955618803,82.215163974199,65.0214035135653,68.733286976362,61.4521384287319,70.5945578932031,83.1313705951131,75.7261158858181,102.83527096765,83.4536556647794,72.5326226208181,85.6027790114938,85.8063637914323,88.233766106581,79.5707061663831
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Green",1123.8222851223,1251.84073815715,1493.3622133271,1440.91806949735,1351.29802006287,1399.70834477886,1196.14018580409,1404.9556110722,1462.61611248319,1206.18732005865,1561.19171712711,1502.79764186118,1408.82038924681,1251.35960772945,1429.09466885105,1184.3387474878,1449.01288552616,1526.29435316956,1541.45253928506,1394.84503543743,1107.58298793312,1280.13527608363,1518.55636541905,1411.86532187914,1230.61286341363,1451.14581941368,1314.36803123645,1509.82407573933,1460.00088261634,1294.04198085021,1283.64087545383,1230.56111837628,1254.77622896641,1486.63002927447,1539.31787900631,1675.28424613924,1516.01816877256,1423.76665066268,1491.99021042284,1546.95170659095,1532.46361967373,1465.86242777446
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Blue",301.327361468438,0.880226089876581,8.72931538737298,4.47411575371642,5.26754787149105,0.652535706365522,NA,0.557643955621742,171.076313774519,0.613711799059656,20.2281260499531,18.7215453080286,0.23518204725132,1.07018957573053,72.2230316276909,2.02939597213558,15.1287376036361,67.9544272183309,73.2666769560495,0.123854961579097,NA,1.21225862840329,89.1122910305867,11.7886588485718,NA,38.0855048121185,1.98503249008437,56.4038206293489,4.83898426739577,NA,0.700654737440299,0.145534502567875,1.62769190421498,83.9474247947057,2.64457065650611,22.0738247959599,7.36514790034855,5.11049642252603,34.3975571506978,76.0080763273466,50.2271201574553,39.9977649317851
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Grey",182.511146298736,54.1750862409958,68.9685163375796,65.4224460951997,65.6636199147776,62.1327042013256,54.6195821101802,67.5466495615822,73.5114375175254,55.3855920787322,80.5428066071967,71.5445768504324,55.8816873564074,56.7156393778841,68.5285089013852,56.2301209284922,70.658658745675,69.9405792746639,75.2188001050446,57.3694000049785,51.9383114389174,51.6341675844022,74.6560571143285,67.8786561449316,54.0131113049124,63.5031368616699,67.323821400759,69.2380830972872,71.4914469340861,56.5403508813612,59.7680756316192,53.4366421119408,61.3865720810462,72.2881483435766,65.8487964224506,89.4219747544782,72.568396230243,63.0718457572331,74.4371991404294,74.6142293838542,76.7250140057226,69.1919184055505
"15","110100b","0461","Dry pasta","Wheat","110100",1,1,"Green",1292.39562789064,1439.61684888072,1717.36654532616,1657.05577992195,1553.99272307231,1609.66459649569,1375.56121367471,1615.69895273303,1682.00852935567,1387.11541806744,1795.37047469618,1728.21728814036,1620.14344763383,1439.06354888887,1643.45886917871,1361.98955961097,1666.36481835509,1755.238506145,1772.67042017782,1604.07179075304,1273.72043612308,1472.15556749617,1746.33982023191,1623.64512016101,1415.20479292567,1668.81769232573,1511.52323592191,1736.29768710023,1679.00101500879,1488.14827797774,1476.1870067719,1415.14528613272,1442.99266331137,1709.62453366564,1770.21556085726,1926.57688306012,1743.42089408844,1637.33164826208,1715.78874198627,1778.99446257959,1762.3331626248,1685.74179194063
