"hs_pc_tas_code","sitc_rev_3_sita_code","product_description_hs","product_description_sitc","rootproduct_hs","rootproduct_sitc","product_fraction","value_fraction","wf_type","world_grazing","world_mixed","world_industrial","world_wgt_avg","country_grazing","country_mixed","country_industrial","country_wgt_avg"
"010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,30081.6171156487,0,30081.6171156487
"010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,597.957424424156,0,597.957424424156
"010111","00151","Horses, live pure-bred breeding","Horses","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,1030.28426631234,0,1030.28426631234
"010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,30081.6171156487,0,30081.6171156487
"010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,597.957424424156,0,597.957424424156
"010119","00151a","Horses, live except pure-bred breeding","Horses","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,1030.28426631234,0,1030.28426631234
"010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Green",40316.9343378169,34717.2945251717,33336.7222165936,37179.1515712879,0,30081.6171156487,0,30081.6171156487
"010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Blue",1469.94896120251,3534.12893198313,2182.58891293015,2461.90724859591,0,597.957424424156,0,597.957424424156
"010120","00152","Asses, mules and hinnies, live","Asses, mules, hinnies","010111","00151",1,1,"Grey",675.138510606094,1179.42703791874,1468.60020861898,970.931684496167,0,1030.28426631234,0,1030.28426631234
"010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Green",9197.0495273691,7347.62132953925,4173.9108415051,7002.05553655314,9015.03500700437,7722.32707195688,4659.90891332073,7509.54645677066
"010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Blue",192.319803574542,240.537831970599,311.264148499573,255.886951019004,204.114430415153,241.753325285718,186.782848810297,216.74686244886
"010210","00111","Bovine, live pure-bred breeding","Bov.animals,pure,breedng","010210","00111",1,1,"Grey",105.717620481072,199.232716840604,335.813472769471,219.033803213564,259.999608800466,282.297968366295,223.703576295685,256.858192729824
"010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Green",9197.0495273691,7347.62132953925,4173.9108415051,7002.05553655314,9015.03500700437,7722.32707195688,4659.90891332073,7509.54645677066
"010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Blue",192.319803574542,240.537831970599,311.264148499573,255.886951019004,204.114430415153,241.753325285718,186.782848810297,216.74686244886
"010290","00119","Bovine, live except pure-bred breeding","Other bovine animals","010210","00111",1,1,"Grey",105.717620481072,199.232716840604,335.813472769471,219.033803213564,259.999608800466,282.297968366295,223.703576295685,256.858192729824
"010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Green",5037.10420709543,3353.39163476424,2588.68322956513,3155.15383572689,3667.47462598764,2403.3558839548,1634.88660120975,2670.31727660754
"010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Blue",264.469995743417,261.280268444608,292.895112648723,276.341756396347,117.494598329546,165.485429567674,146.079841820931,148.577345910475
"010310","00131","Swine, live pure-bred breeding","Swine,pure,for breeding","010310","00131",1,1,"Grey",415.720289905418,374.321598295405,439.401496798994,399.856666719041,185.103063424835,123.540106739034,84.0383509442284,136.238856377977
"010391","00139","Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live","010310","00131",1,1,"Green",5037.10420709543,3353.39163476424,2588.68322956513,3155.15383572689,3667.47462598764,2403.3558839548,1634.88660120975,2670.31727660754
"010391","00139","Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live","010310","00131",1,1,"Blue",264.469995743417,261.280268444608,292.895112648723,276.341756396347,117.494598329546,165.485429567674,146.079841820931,148.577345910475
"010391","00139","Swine, live except pure-bred breeding weighing less than 50 kg","Other swine, live","010310","00131",1,1,"Grey",415.720289905418,374.321598295405,439.401496798994,399.856666719041,185.103063424835,123.540106739034,84.0383509442284,136.238856377977
"010392","00139a","Swine, live except pure-bred breeding weighing 50 kg or more","Other swine, live","010310","00131",1,1,"Green",5037.10420709543,3353.39163476424,2588.68322956513,3155.15383572689,3667.47462598764,2403.3558839548,1634.88660120975,2670.31727660754
"010392","00139a","Swine, live except pure-bred breeding weighing 50 kg or more","Other swine, live","010310","00131",1,1,"Blue",264.469995743417,261.280268444608,292.895112648723,276.341756396347,117.494598329546,165.485429567674,146.079841820931,148.577345910475
"010392","00139a","Swine, live except pure-bred breeding weighing 50 kg or more","Other swine, live","010310","00131",1,1,"Grey",415.720289905418,374.321598295405,439.401496798994,399.856666719041,185.103063424835,123.540106739034,84.0383509442284,136.238856377977
"010410","00121","Sheep, live","Sheep, live","010410","00121",1,1,"Green",7125.85666388328,3490.41084706436,2026.18432844494,4278.29235728761,5280.30218718284,2975.57918685937,1590.38353239497,3637.01911111268
