id,energy_type,more_renewable,renewable_type,toggle,latitude,longitude,accuracy,label,energy_type_label,more_renewable_label,renewable_type_label,toggle_label
1,national,yes,NA,NA,NA,NA,NA,Energyusage object (1),national,yes,NA,NA
2,national,yes,NA,NA,NA,NA,NA,Energyusage object (2),national,yes,NA,NA
