id,name,type,product,address,phone,email,website,toggle,latitude,longitude,accuracy,label,toggle_label
1,Delta com,depozit legumicol,legume bio,,,,,interactive,45.186828,28.797003,13.453,Delta com,Punct pe hartă / Point on Map
2,Depozite ujcoop,complex,alimente,,,,,interactive,45.178047,28.770434,3.364,Depozite ujcoop,Punct pe hartă / Point on Map
