"product_code_faostat","product_code_hs","product_code_sitc","product_description_hs","product_description_faostat","root_product_hs","product_fraction_pf","value_fraction_vf","wf_type","global_average","biala_podlaska","bialystok","bielsko","bydgoszcz","ciechanow","czestochowa","elblag","gdansk","gorzow","jelenia_gora","kalisz","katowice","kielce","konin","koszalin","krakow","krosno","legnica","leszno","lomza","lublin","nowy_sacz","olsztyn","opole","ostroleka","pila","piotrkow","plock","poznan","przemysl","radom","rzeszow","siedlce","sieradz","skierniewice","slupsk","suwalki","szczecin","tarnobrzeg","tarnow","torun","walbrzych","warszawa","wloclawek","wroclaw","zamosc","zielona_gora","cntry_average"
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Green",1277.21127399482,1127.4223240268,1091.66977742431,1106.31773661663,1085.84715792466,1124.75052302854,1097.90964528859,1047.87922693297,980.650138221426,1159.16993096458,1143.20270358796,1137.2946545161,1117.19574104471,1127.50287062509,1141.43885096053,1072.01138251644,1108.62444941988,1178.93244613076,1174.28470526603,1168.22750649334,1079.19490323696,1121.591814741,1145.68595672896,1078.1403483535,1126.58088218067,1112.76714514689,1125.09403585663,1118.41030267274,1134.1757301849,1189.88679921971,1137.46627107062,1143.07366716868,1158.70853560284,1128.43439073028,1128.71435908798,1133.15203104095,1028.27194844886,1034.28944808734,1143.18671290149,1154.19969737482,1192.25688385694,1071.80899849419,1070.188078584,1164.86560650159,1119.28797481152,1118.48329754613,1115.52826448618,1180.99728267227,1115.26428257013
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Blue",342.455126869744,0.683414472873729,0.222843904439115,0.0104723443277007,0.828377517264999,1.58838423288114,0.105796273170356,0.253276198246184,0.14786796344923,0.41536066889911,0.181800452626727,0.275182038309238,0.0398558125878825,0.0781838897360969,0.81278302991872,0.258359912327121,0.0515491818671516,0.0173527516185082,0.475907157378568,0.752640150946699,0.278062051875609,0.373506388677509,0.00450370431565385,0.817100413721292,0.0997317461890347,1.75821125498522,0.56222777518842,0.407526185576073,1.10029644542329,0.392927122095395,0.0369652104306645,0.336462376341492,0.024662940278547,0.476329367842532,1.02848597874679,0.246369960869433,0.515169524657173,0.63225890041414,0.797873541275248,0.0620753030084144,0.0553706552428043,0.225224547859797,0.0953830026489328,0.358895095844238,0.202447331100006,0.414429444506625,0.0417390676891502,0.745006093035504,0.398470551143578
"15","100110 / 100190","0411","Wheat (Durum wheat, Wheat nes and meslin)","Wheat","100110 / 100190",1,1,"Grey",207.421846646418,538.313759718894,543.518511935623,446.660174429827,509.223604485647,540.688241074313,486.591048443522,515.038787363384,506.627695261555,550.856843488025,517.002423984474,532.489394995422,464.641346001017,497.111728988868,560.041844060867,485.064415388597,472.119866491385,479.715360958179,546.409817714483,540.002692068309,534.152998670237,530.818449883126,455.959320044409,532.138231610686,483.407004152567,517.341927069864,515.538170959652,516.840225071257,549.917703981496,587.598287344684,485.486044760545,524.427989340793,498.758769738119,544.316943877284,526.12429609099,522.263803516464,485.78485850965,530.316900520363,534.996109635557,518.744860960017,486.948300384546,521.435524346877,473.574330032624,548.626895773512,549.346805871863,511.793530414587,464.772604239448,553.935436448955,516.057484280732
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Green",1292.39562789064,1140.82588529081,1104.64828816509,1119.47039223128,1098.75644541563,1138.12232011013,1110.96233981074,1060.3371259085,992.308772192113,1172.95092931273,1156.79387270726,1150.81558474089,1130.47772175404,1140.90738948169,1155.00905020346,1084.75618092522,1121.80452880087,1192.94839466316,1188.24539830269,1182.11618744269,1092.02510421229,1134.92605895607,1159.30664844587,1090.95801206513,1139.9744398133,1125.99647570447,1138.46991685171,1131.70672291447,1147.65958052183,1204.03298053144,1150.98924158941,1156.66330221551,1172.48404856999,1141.84998412969,1142.13328094112,1146.62371094812,1040.4967427991,1046.58578255466,1156.77769191267,1167.92160621499,1206.43124234235,1084.55139082445,1082.91120031896,1178.71431890363,1132.59482941493,1131.78058560042,1128.7904211032,1195.03777938196,1128.52330079109
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Blue",346.526465688704,0.691539367654201,0.225493223919319,0.0105968466599525,0.83822583103861,1.60726802196575,0.107054051022295,0.256287317475917,0.149625918090395,0.420298758250015,0.183961819713999,0.278453589023312,0.0403296455201953,0.0791133928456268,0.822445945849773,0.261431470197886,0.0521620335045026,0.0175590528992803,0.481565064450268,0.761588047540529,0.281367842144333,0.377946885957407,0.00455724740720294,0.826814657639262,0.100917424830945,1.77911406289405,0.56891192031174,0.412371133275483,1.11337751584429,0.397598506226309,0.0374046779239769,0.34046246927758,0.0249561500402567,0.481992294438592,1.04071331763438,0.249298974065065,0.521294209380844,0.639775623052865,0.807359203092923,0.0628132963132511,0.0560289391475655,0.227902170043661,0.0965169804780961,0.363161884164802,0.204854162282346,0.419356462830348,0.0422352900354276,0.753863230771074,0.403207839318856
"15","110100","0461","Wheat or meslin flour","Wheat","100190",0.79,0.799392055818753,"Grey",209.887818243547,544.713598806593,549.980228647806,451.97037353142,515.277600077489,547.116309606861,492.375972858569,521.161917793434,512.650828923862,557.405803262938,523.148899458515,538.819990084904,470.165317466007,503.021730389906,566.700001352331,490.831190154446,477.732747680282,485.418542536954,552.905908230798,546.422610329299,540.503371808546,537.129179643792,461.380073696229,538.464651831673,489.154074489499,523.492438786853,521.667238400602,522.984772214607,556.455498628982,594.584054324107,491.257832142338,530.662744972191,504.688352276692,550.788152889927,532.379218567557,528.47282983892,491.560198391963,536.621667522028,541.356506248864,524.912051706634,492.737472052974,527.634703524784,479.204502870592,555.14934441753,555.87781329541,517.878079028929,470.298136191402,560.520996625048,522.192725670668
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Green",1123.8222851223,992.022508948532,960.563728839208,973.452514983725,955.440387317938,989.671582704464,966.054208531076,922.032283398693,862.877193210533,1019.95732983715,1005.90771539762,1000.70920412251,983.024105873075,992.093382157989,1004.35569582909,943.266244282796,975.482198957278,1037.34643014188,1033.2568680893,1027.92711951538,949.587047141124,986.892225179191,1008.09273777901,948.659140926198,991.282121576785,979.127370177804,989.973840740616,984.092802534323,997.964852627675,1046.98520046212,1000.86021007775,1005.79417583958,1019.5513465826,992.913029677995,993.15937473141,997.06409647663,904.779776347046,910.07459352579,1005.89364514145,1015.58400540434,1049.07064551509,943.088165934301,941.661913320839,1024.96897295968,984.865069056457,984.15703095689,981.556887915828,1039.16328641909,981.324609383561
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Blue",301.327361468438,0.601338580568871,0.196081064277668,0.00921464926952394,0.728892026990095,1.39762436692674,0.0930904791498216,0.22285853693558,0.130109493991648,0.36547718108697,0.159966799751304,0.242133555672445,0.0350692569740829,0.0687942546483711,0.715170387695454,0.227331713215553,0.0453582900039153,0.0152687416515481,0.418752229956755,0.662250476122199,0.244667688821159,0.32864946604992,0.00396282383235038,0.718969267512402,0.0877542824616912,1.5470557068644,0.494706017662383,0.358583594152594,0.968154361603731,0.345737831501138,0.0325258068904147,0.296054321110939,0.0217010000350059,0.419123734294428,0.904968102290761,0.216781716578318,0.453299312505082,0.556326628741621,0.702051480950368,0.0546202576636966,0.0487208166500569,0.198175800037966,0.0839278091113879,0.315792942752002,0.178134054158562,0.36465779376552,0.0367263391612414,0.65553324414876,0.350615512451179
"15","110100a","0461","Wheat bread","Wheat","110100",1.15,1,"Grey",182.511146298736,473.663998962255,478.243677085049,393.017716114279,448.067478328252,475.753312701618,428.153019877016,453.184276342117,445.783329499011,484.700698489512,454.912086485665,468.53912181296,408.83940649218,437.410200339049,492.782609871592,426.809730569083,415.41978059155,422.103080466916,480.78774628765,475.150095938521,470.002932007432,467.068851864167,401.200064083677,468.230132027542,425.351369121304,455.210816336394,453.623685565741,454.769367143136,483.874346633898,517.029612455745,427.180723602033,461.44586519321,438.859436762341,478.946219904284,462.938450928311,459.541591164279,427.44365077562,466.627536975676,470.744788042491,456.445262353595,428.467367002586,458.812785673725,416.699567713558,482.738560363069,483.372011561226,450.328764372982,408.954901036002,487.409562282651,454.080631017973
"15","110100b","0461","Dry pasta","Wheat","110100",1,1,"Green",1292.39562789064,1140.82588529081,1104.64828816509,1119.47039223128,1098.75644541563,1138.12232011013,1110.96233981074,1060.3371259085,992.308772192113,1172.95092931273,1156.79387270726,1150.81558474089,1130.47772175404,1140.90738948169,1155.00905020346,1084.75618092522,1121.80452880087,1192.94839466316,1188.24539830269,1182.11618744269,1092.02510421229,1134.92605895607,1159.30664844587,1090.95801206513,1139.9744398133,1125.99647570447,1138.46991685171,1131.70672291447,1147.65958052183,1204.03298053144,1150.98924158941,1156.66330221551,1172.48404856999,1141.84998412969,1142.13328094112,1146.62371094812,1040.4967427991,1046.58578255466,1156.77769191267,1167.92160621499,1206.43124234235,1084.55139082445,1082.91120031896,1178.71431890363,1132.59482941493,1131.78058560042,1128.7904211032,1195.03777938196,1128.52330079109
