"product_description_hs","product_description_sitc","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total"
"Eggs, bird, in shell, fresh, preserved or cooked","Birds' eggs, in shell",2592.13924719903,243.77320540362,428.64684369579,3264.55929629844,2400.56359998942,47.7597351703581,339.488808805662,2787.81214396544
"Egg yolks dried","Egg,unshelld;yolks,dried",5184.27849439806,507.54641080724,857.29368739158,6549.11859259688,4801.12719997885,115.519470340716,678.977617611323,5595.62428793089
"Egg yolks nes","Egg,unshelld;ylk,not dry",2592.13924719903,248.77320540362,428.64684369579,3269.55929629844,2400.56359998942,52.7597351703581,339.488808805662,2792.81214396544
"Eggs, bird, not in shell, dried","Egg,unshelld;ylk,not dry",3840.20629214671,375.219563560918,635.0323610308,4850.45821673843,3556.39051850285,84.8292372894194,502.946383415795,4144.16613920806
"Eggs, bird, not in shell nes","Egg,unshelld;ylk,not dry",2880.15471911003,276.414672670689,476.2742707731,3632.84366255382,2667.29288887714,58.6219279670645,377.209787561846,3103.12460440605
"Bristles, hair and waste of pigs, hogs or boars","Bristle,hair for brushes",11458.5964273348,1039.90955676621,1452.16252875899,13950.66851286,10648.6340271503,590.247206014552,1804.38951643901,13043.2707496039
"Horsehair&waste put up or not as a layer with or without supg material","Horsehair and waste",78613.677123764,5269.02803276368,2052.99224776177,85935.6974042895,43215.709867165,1272.21562574706,473.322645233085,44961.2481381452
"Semen bovine","Bovine semen",1068692.73913057,40581.1482785602,33430.1597433088,1142704.04715244,536242.264833043,27130.3527186965,33083.1392358652,596455.756787605
"Turkey meat and meat offal prepared or preserved, excluding livers","Poultry,prprd,prsrvd,nes",3545.39494981384,313.340547896255,466.549596791946,4325.28509450204,3362.33084485878,72.0239897059774,460.053534534244,3894.408369099
"Dom fowl,duck,goose&guinea fowl meat&meat offal prep/presvd exc livers","Poultry,prprd,prsrvd,nes",3545.39494981384,313.340547896255,466.549596791946,4325.28509450204,3362.33084485878,72.0239897059774,460.053534534244,3894.408369099
"Hams and cuts thereof of swine prepared or preserved","Pork,prepred,presrvd,nes",5286.65515769591,500.222695738885,669.984545765359,6456.86239920015,4892.19547376176,291.752296118953,828.972636557823,6012.92040643854
"Shoulders and cut thereof of swine prepared or preserved","Pork,prepred,presrvd,nes",4747.20054976775,444.077522704305,601.618775789302,5792.89684826136,4392.99185399015,256.879612841509,744.383592011106,5394.25505884276
"Swine meat&meat offal nes/exc livers/ incl mixtures,prepard o preservd","Pork,prepred,presrvd,nes",1124.67813800492,102.068656612019,142.531893786669,1369.27868840361,1045.17913392791,57.9336337423885,177.103492077192,1280.21625974749
"Bovine meat and meat offal nes,excluding livers, prepared or preserved","Bov.meat,prpd,prsrvd,nes",17387.5516810929,660.252275640611,543.906222023049,18591.7101787566,8724.62191607689,441.40882851547,538.260224079351,9704.29096867171
"Bovine skins, whole, raw","Whole bovin.hide<8kg dry",6366.39415492142,241.74917236811,199.149452218639,6807.29277950817,3194.49126531193,161.620372858323,197.082188870312,3553.19382704057
"Bovine hides, whole, fresh or wet-salted","Bovine hides,skins,fresh",7957.99269365177,314.686465460137,248.936815273299,8521.61597438521,3993.11408163992,214.525466072904,246.352736087891,4453.99228380072
"Butts and bends, bovine, fresh or wet-salted","Bovine hides,skins,fresh",7957.99269365177,314.686465460137,248.936815273299,8521.61597438521,3993.11408163992,214.525466072904,246.352736087891,4453.99228380072
"Hide sections, bovine, nes, fresh or wet-salted","Bovine hides,skins,fresh",7957.99269365177,314.686465460137,248.936815273299,8521.61597438521,3993.11408163992,214.525466072904,246.352736087891,4453.99228380072
"Bovine hides, raw, nes","Bovine hides,skins,other",6366.39415492142,241.74917236811,199.149452218639,6807.29277950817,3194.49126531193,161.620372858323,197.082188870312,3553.19382704057
"Equine hides and skins, raw","Equine hides,skins",13131.7578946397,498.648296903435,410.779214693089,14041.1854062362,6589.17510788891,333.369181293346,406.515136608369,7329.05942579063
