"id","name","name_en","name_wf","description","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total","type"
70,"Jogurt truskawkowy","Strawberry yogurt","Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa","Yogurt",1002.81705250896,99.4224194545203,84.0167134906577,1186.25618545414,875.195225148112,37.5815087479212,113.043140500322,1025.81987439636,"animals"
71,"Jogurt wisniowy","Cherry yogurt","Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa","Yogurt",1002.81705250896,99.4224194545203,84.0167134906577,1186.25618545414,875.195225148112,37.5815087479212,113.043140500322,1025.81987439636,"animals"
72,"Kalafior","Cauliflower","Cauliflowers and headed broccoli, fresh or chilled","Cauliflowers and broccoli",189.286722452254,21.1488561439903,74.6714153070404,285.106993903285,151.895148347556,0.450905944029904,NA,152.346054291586,"crops"
73,"Kalarepa","Kohlrabi","Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled","Cabbages and other brassicas",181.116655419346,26.3655721132115,72.852487781248,280.334715313805,80.106027633478,1.14481744627708,NA,81.2508450797551,"crops"
74,"Kapusta biala","White cabbage","Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled","Cabbages and other brassicas",181.116655419346,26.3655721132115,72.852487781248,280.334715313805,80.106027633478,1.14481744627708,NA,81.2508450797551,"crops"
75,"Kapusta czerwona","Red cabbage","Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled","Cabbages and other brassicas",181.116655419346,26.3655721132115,72.852487781248,280.334715313805,80.106027633478,1.14481744627708,NA,81.2508450797551,"crops"
76,"Kasza jaglana","Barley groats","Barley, rolled or flaked grains","Barley",1685.16963917954,109.547643914607,182.248567276766,1976.96585037091,1354.90745176069,NA,NA,1354.90745176069,"crops"
77,"Kasza jeczmienna","Barley groats","Barley, rolled or flaked grains","Barley",1685.16963917954,109.547643914607,182.248567276766,1976.96585037091,1354.90745176069,NA,NA,1354.90745176069,"crops"
78,"Kefir","Kefir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Kiwi","Kiwi","Kiwi fruit","Kiwi fruit",306.713411584388,168.487339282419,38.496833898807,513.697584765614,NA,NA,NA,NA,"crops"
80,"Koncentrat pomidorowy","Tomato concentrate","Tomato juice, concentrated","Tomatoes",539.373032842252,316.241606594397,213.371716779583,1068.98635621623,758.754509551303,28.6737325007307,NA,787.428242052034,"crops"
81,"Koper ogrodowy","Dill pickle","Cucumbers and gherkins, fresh or chilled","Cucumbers and gherkins",206.485370627298,42.3179274366318,104.520778202843,353.324076266773,186.050177236192,0.763656466730772,NA,186.813833702923,"crops"
82,"Kukurydza","Corn","Maize (corn)","Maize",947.196348038685,81.2263955986408,193.930919677353,1222.35366331468,621.523816308635,12.3317716147868,388.113658465781,1021.9692463892,"crops"
83,"Losos","Salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Makaron","Pasta","Dry pasta","Wheat",1292.39562789064,346.526465688704,209.887818243547,1848.80991182289,1040.4967427991,0.521294209380844,491.560198391963,1532.57823540044,"crops"
85,"Makrela","Mackerel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Maliny","Raspberries","Raspberries, blackberries, mulberries and loganberries, fresh","Raspberries",292.587036432752,52.8847532882426,67.3260520401095,412.797841761104,337.825662635855,9.45310123203414,NA,347.278763867889,"crops"
87,"Mandarynki","Mandarins","Mandarins(tang&sats)clementines&wilkgs &sim citrus hybrids,fresh/drid","Tangerines, mandarins, clem.",478.904562461412,117.740192405659,151.782748436682,748.427503303753,NA,NA,NA,NA,"crops"
88,"Mango","Mangoes","Guavas, mangoes and mangosteens, fresh or dried","Mangoes, mangosteens, guavas",1313.93896802949,361.868064099394,124.41473734377,1800.22176947265,NA,NA,NA,NA,"crops"
89,"Marchew","Carrots","Carrots and turnips, fresh or chilled","Carrots and turnips",105.730591583269,28.1633298999666,61.1717776775329,195.065699160769,50.6995766534371,0.0221434428541862,NA,50.7217200962913,"crops"
90,"Maka pszenna","Wheat flour","Wheat or meslin flour","Wheat",1292.39562789064,346.526465688704,209.887818243547,1848.80991182289,1040.4967427991,0.521294209380844,491.560198391963,1532.57823540044,"crops"
91,"Maka zytnia","Rye flour","Rye flour","Rye",1774.28416185813,31.5901828686619,124.013482371863,1929.88782709865,1580.8164308891,0.0115719454786622,NA,1580.82800283458,"crops"
92,"Melon","Melon","Other melons (inc.cantaloupes)","Other melons (inc.cantaloupes)",125.147743706971,29.1673590729725,66.9112243646064,221.22632714455,NA,NA,NA,NA,"crops"
93,"Mieso wieprzowe","Pork","Swine meat&meat offal nes/exc livers/ incl mixtures,prepard o preservd","Pork,prepred,presrvd,nes",1124.67813800492,102.068656612019,142.531893786669,1369.27868840361,1045.17913392791,57.9336337423885,177.103492077192,1280.21625974749,"animals"
94,"Mieso wolowe","Beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"Mieso z indyka","Turkey meat","Turkey meat and meat offal prepared or preserved, excluding livers","Poultry,prprd,prsrvd,nes",3545.39494981384,313.340547896255,466.549596791946,4325.28509450204,3362.33084485878,72.0239897059774,460.053534534244,3894.408369099,"animals"
96,"Mieso z kurczaka","Chicken meat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"Miód pszczeli","Bee honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"Mleko roslinne","Vegetable milk","soybean ingredient into the soymilk","Soybeans",3573.75805403704,123.32282789409,65.4443305509856,3762.52521248212,NA,NA,NA,NA,"crops"
99,"Mleko spozywcze","Drinking milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Morele","Apricots","Apricots, fresh","Apricots",693.803358231989,501.566307148958,91.6326859604803,1287.00235134143,1836.31584506728,1.23867358208534,NA,1837.55451864937,"crops"
101,"Nektarynka","Nectarine","Peaches, including nectarines, fresh","Peaches and nectarines",582.554731601574,187.860230788899,139.223277048827,909.6382394393,1233.68322942274,0.854690606923732,NA,1234.53792002966,"crops"
102,"Ogórek","Cucumber","Cucumbers and gherkins, fresh or chilled","Cucumbers and gherkins",206.485370627298,42.3179274366318,104.520778202843,353.324076266773,186.050177236192,0.763656466730772,NA,186.813833702923,"crops"
103,"Ogórek kiszony","Pickled cucumber","Cucumbers and gherkins, fresh or chilled","Cucumbers and gherkins",206.485370627298,42.3179274366318,104.520778202843,353.324076266773,186.050177236192,0.763656466730772,NA,186.813833702923,"crops"
104,"Olej rzepakowy","Canola oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"Olej slonecznikowy","Sunflower oil","Palm oil, crude","Oil palm",4691.44501339519,1.03628514075659,178.837165881212,4871.31846441716,NA,NA,NA,NA,"crops"
106,"Papryka czerwona","Red Pepper","Peppers of the genus Capsicum or of the genus Pimenta,fresh or chilled","Chillies and peppers, green",239.749501795431,42.2406417511502,97.2228565834034,379.213000129985,NA,NA,NA,NA,"crops"
