Group Ordering,Lead Author,Year Published,Food Item,GHG (g CO2 equiv/g protein),LU (m^2/g protein),EU (kj/g protein),Acidification Potential (g SO2 equiv/g protein),Eutrophication Potential (g PO4 equiv/g protein),GHG (g CO2 equiv/serving),LU (m^2/serving),EU (kj/serving),Acidification Potential (g SO2 equiv/serving),Eutrophication Potential (g PO4 equiv/serving),GHG (g CO2 equiv/gram),LU (m^2/kg),EU (kj/gram),Acidification Potential (g SO2 equiv/gram),Eutrophication Potential (g PO4 equiv/gram)
Non-Trawling Fishery,Iribarren,2010,eel,1.96E+01,,,,,1.01E+02,,,,,3.61E+00,,,,
Trawl Fishery,Iribarren,2010,flat fish,2.03E+02,,,,,7.07E+02,,,,,2.52E+01,,,,
Non-Trawling Fishery,Schau,2009,flat fish,3.68E+01,,,,,1.28E+02,,,,,4.57E+00,,,,
Non-Trawling Fishery,Schau,2009,flat fish,7.96E+01,,,,,2.77E+02,,,,,9.88E+00,,,,
Non-Trawling Fishery,Schau,2009,flat fish,8.14E+01,,,,,2.83E+02,,,,,1.01E+01,,,,
Non-Trawling Fishery,Schau,2009,flat fish,1.66E+02,,,,,5.77E+02,,,,,2.06E+01,,,,
Non-Trawling Fishery,Schau,2009,flat fish,1.84E+02,,,,,6.40E+02,,,,,2.28E+01,,,,
Non-Trawling Fishery,Schau,2009,flat fish,2.10E+02,,,,,7.29E+02,,,,,2.60E+01,,,,
Non-Trawling Fishery,Thrane,2004,flat fish,1.54E+01,,,,,5.36E+01,,,,,1.91E+00,,,,
Trawl Fishery,Thrane,2004,flat fish,8.22E+01,,,,,2.86E+02,,,,,1.02E+01,,,,
Trawl Fishery,Thrane,2004,flat fish,2.23E+02,,,,3.40E-03,7.77E+02,,,,3.00E-05,2.77E+01,,,,1.07E-06
Trawl Fishery,Thrane,2006,flat fish,1.68E+02,,,,,5.84E+02,,,,,2.09E+01,,,,
Non-Trawling Fishery,Tyedmers,2001,flat fish,3.25E+01,,,,,1.13E+02,,,,,4.04E+00,,,,
Trawl Fishery,Tyedmers,2001,flat fish,1.99E+02,,,,,6.90E+02,,,,,2.46E+01,,,,
Trawl Fishery,Buchspies,2011,Herring,2.69E+01,,,,,1.35E+02,,,,,4.83E+00,,,,
Non-Trawling Fishery,Driscoll,2010,Herring,7.40E-01,,,,,3.71E+00,,,,,1.33E-01,,,,
Trawl Fishery,Driscoll,2010,Herring,3.83E+00,,,,,1.93E+01,,,,,6.88E-01,,,,
Trawl Fishery,Driscoll,2010,Herring,4.15E+00,,,,,2.09E+01,,,,,7.45E-01,,,,
Non-Trawling Fishery,Iribarren,2010,Herring,8.41E+00,,,,,4.23E+01,,,,,1.51E+00,,,,
Non-Trawling Fishery,Schau,2009,Herring,2.90E+00,,,,,1.46E+01,,,,,5.20E-01,,,,
Non-Trawling Fishery,Schau,2009,Herring,3.26E+00,,,,,1.64E+01,,,,,5.86E-01,,,,
Non-Trawling Fishery,Schau,2009,Herring,3.26E+00,,,,,1.64E+01,,,,,5.86E-01,,,,
Non-Trawling Fishery,Tyedmers,2001,Herring,8.98E+00,,,,,4.52E+01,,,,,1.61E+00,,,,
Non-Trawling Fishery,Tyedmers,2001,Herring,1.08E+01,,,,,5.43E+01,,,,,1.94E+00,,,,
Trawl Fishery,Buchspies,2011,mackerel,2.51E+01,,,,,1.41E+02,,,,,5.03E+00,,,,
Trawl Fishery,Iribarren,2010,mackerel,7.83E+00,,,,,4.40E+01,,,,,1.57E+00,,,,
Non-Trawling Fishery,Iribarren,2010,mackerel,8.26E+00,,,,,4.64E+01,,,,,1.66E+00,,,,
Non-Trawling Fishery,Iribarren,2010,mackerel,1.05E+01,,,,,5.92E+01,,,,,2.11E+00,,,,
Non-Trawling Fishery,Iribarren,2010,mackerel,1.32E+01,,,,,7.44E+01,,,,,2.66E+00,,,,
Trawl Fishery,Iribarren,2010,mackerel,1.68E+01,,,,,9.44E+01,,,,,3.37E+00,,,,
Non-Trawling Fishery,Ramos,2011,mackerel,1.35E+00,,,,3.40E-03,7.57E+00,,,,1.00E-05,2.70E-01,,,,3.57E-07
