Group Ordering,Lead Author,Year Published,Food Item,GHG (g CO2 equiv/g protein),LU (m^2/g protein),EU (kj/g protein),Acidification Potential (g SO2 equiv/g protein),Eutrophication Potential (g PO4 equiv/g protein),GHG (g CO2 equiv/serving),LU (m^2/serving),EU (kj/serving),Acidification Potential (g SO2 equiv/serving),Eutrophication Potential (g PO4 equiv/serving),GHG (g CO2 equiv/gram),LU (m^2/kg),EU (kj/gram),Acidification Potential (g SO2 equiv/gram),Eutrophication Potential (g PO4 equiv/gram)
Rice,Blengini,2009,Rice,3.55E+01,1.79E-02,1.26E+02,,,7.90E+01,4.00E-02,2.80E+02,,,2.82E+00,1.43E-03,1.00E+01,,
Rice,Brodt,2014,Rice,1.85E+01,1.35E-02,,,,4.12E+01,3.00E-02,,,,1.47E+00,1.07E-03,,,
Rice,Fusi,2014,Rice,8.44E+00,2.25E-02,,,,1.88E+01,5.00E-02,,,,6.70E-01,1.79E-03,,,
Rice,Hokanozo,2012,Rice,1.84E+01,2.89E-02,6.55E+01,1.39E-01,9.57E-02,4.09E+01,6.40E-02,1.46E+02,3.08E-01,2.13E-01,1.46E+00,2.29E-03,5.20E+00,1.10E-02,7.60E-03
Rice,Hokanozo,2012,Rice,1.99E+01,2.84E-02,5.79E+01,2.39E-01,9.95E-02,4.42E+01,6.30E-02,1.29E+02,5.32E-01,2.21E-01,1.58E+00,2.25E-03,4.60E+00,1.90E-02,7.90E-03
Rice,Hokanozo,2012,Rice,2.52E+01,3.73E-02,7.68E+01,2.90E-01,1.31E-01,5.60E+01,8.30E-02,1.71E+02,6.44E-01,2.91E-01,2.00E+00,2.96E-03,6.10E+00,2.30E-02,1.04E-02
Rice,Khoshnevisan,2014,Rice,9.61E+00,2.38E-02,,,,2.14E+01,5.30E-02,,,,7.63E-01,1.89E-03,,,
Rice,Khoshnevisan,2014,Rice,1.65E+01,3.40E-02,,,,3.67E+01,7.60E-02,,,,1.31E+00,2.71E-03,,,
Rice,Wang,2010,Rice,,1.42E-02,4.44E+01,2.87E-01,,,3.20E-02,9.87E+01,6.39E-01,,,1.14E-03,3.53E+00,2.28E-02,
Ruminant Meat,Beauchemin,2010,Beef,2.39E+02,,,,,1.24E+03,,,,,4.43E+01,,,,
Ruminant Meat,Casey,2005,Beef,2.11E+02,,,,,1.10E+03,,,,,3.92E+01,,,,
Ruminant Meat,Casey,2006,Beef,1.84E+02,,,,,9.64E+02,,,,,3.44E+01,,,,
Ruminant Meat,Casey,2006,Beef,1.89E+02,,,,,9.89E+02,,,,,3.53E+01,,,,
Ruminant Meat,Casey,2006,Beef,1.93E+02,,,,,1.01E+03,,,,,3.61E+01,,,,
Ruminant Meat,Casey,2006,Beef,1.96E+02,,,,,1.03E+03,,,,,3.67E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.00E+02,,,,,1.05E+03,,,,,3.74E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.06E+02,,,,,1.08E+03,,,,,3.85E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.08E+02,,,,,1.09E+03,,,,,3.89E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.10E+02,,,,,1.10E+03,,,,,3.93E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.12E+02,,,,,1.11E+03,,,,,3.96E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.15E+02,,,,,1.12E+03,,,,,4.01E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.16E+02,,,,,1.13E+03,,,,,4.04E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.19E+02,,,,,1.14E+03,,,,,4.09E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.21E+02,,,,,1.16E+03,,,,,4.13E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.23E+02,,,,,1.17E+03,,,,,4.17E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.26E+02,,,,,1.18E+03,,,,,4.22E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.27E+02,,,,,1.19E+03,,,,,4.23E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.33E+02,,,,,1.22E+03,,,,,4.36E+01,,,,
Ruminant Meat,Casey,2006,Beef,2.35E+02,,,,,1.23E+03,,,,,4.39E+01,,,,
Ruminant Meat,Cederberg,2009,Beef,1.51E+02,,,,,7.84E+02,,,,,2.80E+01,,,,
Ruminant Meat,Cederberg,2009,Beef,2.15E+02,,2.69E+01,,,1.12E+03,,1.40E+02,,,4.00E+01,,5.00E+00,,
Ruminant Meat,Clarke,2013,Beef,2.21E+02,,,,,1.15E+03,,,,,4.10E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.23E+02,,,,,1.16E+03,,,,,4.14E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.24E+02,,,,,1.17E+03,,,,,4.16E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.25E+02,,,,,1.17E+03,,,,,4.18E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.26E+02,,,,,1.18E+03,,,,,4.20E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.27E+02,,,,,1.18E+03,,,,,4.22E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.28E+02,,,,,1.19E+03,,,,,4.24E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.29E+02,,,,,1.19E+03,,,,,4.27E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.45E+02,,,,,1.27E+03,,,,,4.55E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.46E+02,,,,,1.28E+03,,,,,4.57E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.47E+02,,,,,1.29E+03,,,,,4.59E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.49E+02,,,,,1.30E+03,,,,,4.63E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.50E+02,,,,,1.30E+03,,,,,4.65E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.51E+02,,,,,1.31E+03,,,,,4.67E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.52E+02,,,,,1.31E+03,,,,,4.69E+01,,,,
Ruminant Meat,Clarke,2013,Beef,2.54E+02,,,,,1.32E+03,,,,,4.71E+01,,,,
Ruminant Meat,Dick,2015,Beef,1.62E+02,3.72E-01,,6.73E-02,,8.44E+02,1.94E+00,,3.50E-01,,3.02E+01,6.91E-02,,1.25E-02,
Ruminant Meat,Dick,2015,Beef,3.99E+02,4.16E+00,,4.96E-02,,2.08E+03,2.16E+01,,2.58E-01,,7.41E+01,7.73E-01,,9.22E-03,
Ruminant Meat,Edward-Jones,2009,Beef,2.73E+02,,,,,1.43E+03,,,,,5.10E+01,,,,
Ruminant Meat,Edward-Jones,2009,Beef,8.39E+02,,,,,4.39E+03,,,,,1.57E+02,,,,
Ruminant Meat,Flachowsky,2008,Beef,4.84E+01,,,,,2.52E+02,,,,,9.00E+00,,,,
Ruminant Meat,Flachowsky,2008,Beef,7.42E+01,,,,,3.86E+02,,,,,1.38E+01,,,,
Ruminant Meat,Flachowsky,2008,Beef,1.51E+02,,,,,7.84E+02,,,,,2.80E+01,,,,
Ruminant Meat,Foley,2011,Beef,2.07E+02,,,,,1.08E+03,,,,,3.86E+01,,,,
Ruminant Meat,Foley,2011,Beef,2.16E+02,,,,,1.13E+03,,,,,4.02E+01,,,,
Ruminant Meat,Foley,2011,Beef,2.24E+02,,,,,1.17E+03,,,,,4.16E+01,,,,
Ruminant Meat,Foley,2011,Beef,2.42E+02,,,,,1.26E+03,,,,,4.49E+01,,,,
Ruminant Meat,Foley,2011,Beef,2.54E+02,,,,,1.32E+03,,,,,4.71E+01,,,,
Ruminant Meat,Nguyen,2012,Beef,,,3.31E+02,5.54E-01,2.92E-01,,,1.72E+03,2.88E+00,1.52E+00,,,6.16E+01,1.03E-01,5.43E-02
Ruminant Meat,Nguyen,2012,Beef,,,2.30E+02,6.75E-01,3.36E-01,,,1.20E+03,3.51E+00,1.75E+00,,,4.28E+01,1.25E-01,6.25E-02
Ruminant Meat,Nguyen,2012,Beef,,,3.49E+02,5.21E-01,3.81E-01,,,1.82E+03,2.71E+00,1.98E+00,,,6.48E+01,9.68E-02,7.08E-02
Ruminant Meat,Pelletier,2010,Beef,2.62E+02,1.49E+00,6.76E+02,,1.84E+00,1.36E+03,7.77E+00,3.52E+03,,9.59E+00,4.87E+01,2.77E-01,1.26E+02,,3.42E-01
Ruminant Meat,Pelletier,2010,Beef,2.87E+02,1.73E+00,7.97E+02,,2.11E+00,1.49E+03,9.01E+00,4.15E+03,,1.10E+01,5.33E+01,3.22E-01,1.48E+02,,3.92E-01
Ruminant Meat,Pelletier,2010,Beef,3.40E+02,2.12E+00,8.57E+02,,2.51E+00,1.77E+03,1.11E+01,4.46E+03,,1.31E+01,6.32E+01,3.95E-01,1.59E+02,,4.67E-01
Ruminant Meat,Peters,2010,Beef,9.00E+01,2.67E-01,,,,4.69E+02,1.39E+00,,,,1.67E+01,4.96E-02,,,
Ruminant Meat,Peters,2010,Beef,1.08E+02,3.24E-01,,,,5.60E+02,1.69E+00,,,,2.00E+01,6.02E-02,,,
Ruminant Meat,Peters,2010,Beef,1.09E+02,,,,,5.66E+02,,,,,2.02E+01,,,,
Ruminant Meat,Peters,2010,Beef,1.12E+02,3.04E-01,,,,5.83E+02,1.58E+00,,,,2.08E+01,5.65E-02,,,
Ruminant Meat,Peters,2010,Beef,1.26E+02,3.16E-01,,,,6.57E+02,1.65E+00,,,,2.35E+01,5.88E-02,,,
Ruminant Meat,Peters,2010,Beef,1.32E+02,,,,,6.86E+02,,,,,2.45E+01,,,,
Ruminant Meat,Phetteplace,2001,Beef,2.73E+02,,,,,1.43E+03,,,,,5.10E+01,,,,
Ruminant Meat,Roer,2013,Beef,1.94E+02,2.58E-01,,2.69E+00,,1.01E+03,1.34E+00,,1.40E+01,,3.61E+01,4.80E-02,,5.00E-01,
Ruminant Meat,Roer,2013,Beef,2.00E+02,2.12E-01,,2.82E+00,,1.04E+03,1.10E+00,,1.47E+01,,3.71E+01,3.94E-02,,5.24E-01,
Ruminant Meat,Roer,2013,Beef,2.02E+02,2.45E-01,,2.76E+00,,1.05E+03,1.27E+00,,1.43E+01,,3.76E+01,4.55E-02,,5.12E-01,
Ruminant Meat,Vergé,2008,Beef,1.78E+02,,,,,9.27E+02,,,,,3.31E+01,,,,
Ruminant Meat,Vergé,2008,Beef,2.16E+02,,,,,1.13E+03,,,,,4.02E+01,,,,
Ruminant Meat,Wiedemann,2015,Beef,1.66E+02,2.58E+00,1.84E+02,,,8.65E+02,1.34E+01,9.60E+02,,,3.09E+01,4.79E-01,3.43E+01,,
Ruminant Meat,Wiedemann,2015,Beef,1.83E+02,1.53E+00,2.50E+02,,,9.53E+02,7.98E+00,1.30E+03,,,3.40E+01,2.85E-01,4.65E+01,,
Ruminant Meat,Wiedemann,2015,Beef,1.96E+02,3.32E+00,1.40E+02,,,1.02E+03,1.73E+01,7.30E+02,,,3.64E+01,6.18E-01,2.61E+01,,
Ruminant Meat,Williams,2006,Beef,1.71E+02,2.50E-01,2.94E+02,4.96E+00,1.68E+00,8.91E+02,1.30E+00,1.53E+03,2.58E+01,8.74E+00,3.18E+01,4.65E-02,5.47E+01,9.22E-01,3.12E-01
Ruminant Meat,Williams,2006,Beef,1.73E+02,2.52E-01,3.05E+02,5.15E+00,1.72E+00,9.03E+02,1.31E+00,1.59E+03,2.68E+01,8.97E+00,3.22E+01,4.69E-02,5.67E+01,9.57E-01,3.20E-01
Ruminant Meat,Williams,2006,Beef,1.80E+02,2.65E-01,3.26E+02,5.60E+00,1.86E+00,9.37E+02,1.38E+00,1.70E+03,2.91E+01,9.66E+00,3.35E+01,4.92E-02,6.06E+01,1.04E+00,3.45E-01
Ruminant Meat,Williams,2006,Beef,2.00E+02,4.62E-01,1.99E+02,7.81E+00,3.58E+00,1.04E+03,2.41E+00,1.03E+03,4.06E+01,1.86E+01,3.71E+01,8.59E-02,3.69E+01,1.45E+00,6.65E-01
Ruminant Meat,Williams,2006,Beef,2.78E+02,4.23E-01,4.47E+02,7.77E+00,2.82E+00,1.45E+03,2.20E+00,2.33E+03,4.05E+01,1.47E+01,5.16E+01,7.86E-02,8.31E+01,1.44E+00,5.24E-01
Ruminant Meat,Biswas,2010,Mutton and Goat,8.70E+01,,,,,5.04E+02,,,,,1.80E+01,,,,
Ruminant Meat,Biswas,2010,Mutton and Goat,9.50E+01,,,,,5.50E+02,,,,,1.96E+01,,,,
Ruminant Meat,Bosch,2010,Mutton and Goat,2.92E+02,,,,,1.69E+03,,,,,6.05E+01,,,,
Ruminant Meat,Bosch,2010,Mutton and Goat,3.64E+02,,,,,2.11E+03,,,,,7.53E+01,,,,
Ruminant Meat,Bosch,2010,Mutton and Goat,4.26E+02,,,,,2.47E+03,,,,,8.81E+01,,,,
Ruminant Meat,Casey,2005,Mutton and Goat,1.71E+02,,,,,9.89E+02,,,,,3.53E+01,,,,
Ruminant Meat,Edward-Jones,2009,Mutton and Goat,9.75E+01,,,,,5.64E+02,,,,,2.02E+01,,,,
Ruminant Meat,Edward-Jones,2009,Mutton and Goat,1.93E+02,,,,,1.12E+03,,,,,4.00E+01,,,,
Ruminant Meat,Edward-Jones,2009,Mutton and Goat,3.12E+02,,,,,1.81E+03,,,,,6.45E+01,,,,
Ruminant Meat,Edward-Jones,2009,Mutton and Goat,7.74E+02,,,,,4.48E+03,,,,,1.60E+02,,,,
Ruminant Meat,Wiedemann,2015,Mutton and Goat,1.23E+02,2.29E+00,1.09E+02,,,7.10E+02,1.32E+01,6.31E+02,,,2.53E+01,4.73E-01,2.26E+01,,
Ruminant Meat,Williams,2006,Mutton and Goat,8.60E+01,2.66E-01,1.57E+02,1.29E+01,5.06E+00,4.98E+02,1.54E+00,9.07E+02,7.45E+01,2.93E+01,1.78E+01,5.49E-02,3.24E+01,2.66E+00,1.05E+00
Ruminant Meat,Williams,2006,Mutton and Goat,1.49E+02,1.18E-01,1.97E+02,3.13E+00,1.66E+00,8.63E+02,6.80E-01,1.14E+03,1.81E+01,9.61E+00,3.08E+01,2.43E-02,4.07E+01,6.48E-01,3.43E-01
Trawl Fishery,Iribarren,2010,anglerfish,4.32E+02,,,,,1.75E+03,,,,,6.25E+01,,,,
Trawl Fishery,Iribarren,2010,squid,8.21E+01,,,,,3.58E+02,,,,,1.28E+01,,,,
Trawl Fishery,Iribarren,2010,squid,8.88E+01,,,,,3.87E+02,,,,,1.38E+01,,,,
Trawl Fishery,Iribarren,2010,squid,9.45E+01,,,,,4.12E+02,,,,,1.47E+01,,,,
Wheat,Biswas,2008,Wheat,1.75E+00,,,,,7.54E+00,,,,,2.69E-01,,,,
Wheat,Biswas,2010,Wheat,1.75E+00,,,,,7.56E+00,,,,,2.70E-01,,,,
Wheat,Brentrup,2003,Wheat,9.20E-01,3.14E-02,1.37E+01,,,3.99E+00,1.35E-01,5.91E+01,,,1.43E-01,4.82E-03,2.11E+00,,
Wheat,Brentrup,2003,Wheat,1.26E+00,1.35E-02,9.03E+00,,,5.45E+00,5.80E-02,3.89E+01,,,1.95E-01,2.07E-03,1.39E+00,,
Wheat,Brentrup,2003,Wheat,1.43E+00,9.13E-03,8.08E+00,,,6.18E+00,3.90E-02,3.49E+01,,,2.21E-01,1.39E-03,1.25E+00,,
Wheat,Brentrup,2003,Wheat,1.67E+00,7.61E-03,8.35E+00,,,7.21E+00,3.30E-02,3.60E+01,,,2.58E-01,1.18E-03,1.29E+00,,
Wheat,Brentrup,2003,Wheat,1.98E+00,7.02E-03,9.13E+00,,,8.53E+00,3.00E-02,3.94E+01,,,3.05E-01,1.07E-03,1.41E+00,,
Wheat,Brentrup,2003,Wheat,2.41E+00,7.00E-03,1.05E+01,,,1.04E+01,3.00E-02,4.52E+01,,,3.71E-01,1.07E-03,1.61E+00,,
Wheat,Brentrup,2003,Wheat,2.89E+00,7.13E-03,1.21E+01,,,1.25E+01,3.10E-02,5.20E+01,,,4.45E-01,1.11E-03,1.86E+00,,
Wheat,Charles,2006,Wheat,2.41E+00,,2.16E+01,1.77E-02,3.50E-03,1.04E+01,0.00E+00,9.32E+01,7.64E-02,1.52E-02,3.71E-01,,3.33E+00,2.73E-03,5.43E-04
Wheat,Fallahpour,2012,Wheat,2.98E+00,1.08E-01,,,,1.29E+01,4.67E-01,,,,4.59E-01,1.67E-02,,,
Wheat,Fallahpour,2012,Wheat,3.37E+00,2.60E-01,,,,1.45E+01,1.12E+00,,,,5.18E-01,4.00E-02,,,
Wheat,Fallahpour,2012,Wheat,3.60E+00,7.73E-02,,,,1.55E+01,3.33E-01,,,,5.55E-01,1.19E-02,,,
Wheat,Fallahpour,2012,Wheat,4.47E+00,1.58E-01,,,,1.93E+01,6.83E-01,,,,6.88E-01,2.44E-02,,,
Wheat,Fallahpour,2012,Wheat,5.27E+00,1.14E-01,,,,2.27E+01,4.91E-01,,,,8.12E-01,1.75E-02,,,
Wheat,Fallahpour,2012,Wheat,5.84E+00,1.04E-02,,,,2.52E+01,4.50E-02,,,,8.99E-01,1.61E-03,,,
Wheat,Fallahpour,2012,Wheat,5.72E+00,1.57E-02,,,,2.47E+01,6.70E-02,,,,8.81E-01,2.39E-03,,,
Wheat,Fallahpour,2012,Wheat,5.89E+00,1.41E-02,,,,2.54E+01,6.10E-02,,,,9.07E-01,2.18E-03,,,
Wheat,Fallahpour,2012,Wheat,6.44E+00,1.26E-02,,,,2.78E+01,5.40E-02,,,,9.92E-01,1.93E-03,,,
Wheat,Fallahpour,2012,Wheat,7.74E+00,3.23E-02,,,,3.34E+01,1.39E-01,,,,1.19E+00,4.96E-03,,,
Wheat,Moudry,2013,Wheat,3.00E+00,,,,,1.30E+01,,,,,4.63E-01,,,,
Wheat,Moudry,2013,Wheat,3.62E+00,,,,,1.56E+01,,,,,5.58E-01,,,,
Wheat,Pelletier,2008,Wheat,1.89E+00,2.68E-02,5.19E+00,6.30E-02,,8.14E+00,1.16E-01,2.24E+01,2.72E-01,,2.91E-01,4.14E-03,8.00E-01,9.70E-03,
Wheat,Pelletier,2008,Wheat,2.48E+00,2.41E-02,1.75E+01,6.62E-02,,1.07E+01,1.04E-01,7.56E+01,2.86E-01,,3.82E-01,3.71E-03,2.70E+00,1.02E-02,
Wheat,Ridoutt,2013,Wheat,3.04E+00,9.15E-03,,,,1.31E+01,3.90E-02,,,,4.68E-01,1.39E-03,,,
Wheat,Ridoutt,2013,Wheat,1.91E+01,4.33E-02,,,,8.21E+01,1.87E-01,,,,2.93E+00,6.68E-03,,,
Wheat,Ridoutt,2013,Wheat,2.06E+01,3.82E-02,,,,8.89E+01,1.65E-01,,,,3.18E+00,5.89E-03,,,
Wheat,Roer,2011,Wheat,4.81E+00,1.24E-02,,,,2.07E+01,5.30E-02,,,,7.40E-01,1.89E-03,,,
Wheat,Tamburini,2015,Wheat,3.31E+00,9.02E-03,,1.16E-02,2.75E-02,1.43E+01,3.90E-02,,5.01E-02,1.19E-01,5.09E-01,1.39E-03,,1.79E-03,4.24E-03
Wheat,Tuomisto,2012,Wheat,2.24E+00,8.22E-03,9.02E+00,,,9.66E+00,3.50E-02,3.89E+01,,,3.45E-01,1.25E-03,1.39E+00,,
Wheat,Tuomisto,2012,Wheat,2.38E+00,1.48E-02,1.11E+01,,,1.03E+01,6.40E-02,4.77E+01,,,3.67E-01,2.29E-03,1.71E+00,,
Wheat,Tuomisto,2012,Wheat,2.60E+00,1.06E-02,1.50E+01,,,1.12E+01,4.60E-02,6.46E+01,,,4.01E-01,1.64E-03,2.31E+00,,
Wheat,Wang,2009,Wheat,4.33E+00,6.66E-03,5.14E+01,4.58E-02,3.73E-02,1.87E+01,2.90E-02,2.22E+02,1.98E-01,1.61E-01,6.67E-01,1.04E-03,7.91E+00,7.06E-03,5.74E-03
Wheat,Wang,2014,Wheat,8.35E+00,9.37E-03,,1.44E-01,2.85E-02,3.60E+01,4.00E-02,,6.19E-01,1.23E-01,1.29E+00,1.43E-03,,2.21E-02,4.39E-03
Wheat,Wang,2014,Wheat,9.21E+00,1.01E-02,,1.63E-01,3.25E-02,3.97E+01,4.40E-02,,7.04E-01,1.40E-01,1.42E+00,1.57E-03,,2.51E-02,5.01E-03
Wheat,Williams,2006,Wheat,5.10E+00,1.58E-02,1.13E+01,2.21E-02,6.04E-02,2.20E+01,6.80E-02,4.87E+01,9.52E-02,2.60E-01,7.86E-01,2.43E-03,1.74E+00,3.40E-03,9.30E-03
Wheat,Williams,2006,Wheat,5.22E+00,9.15E-03,1.60E+01,2.08E-02,2.01E-02,2.25E+01,3.90E-02,6.89E+01,8.96E-02,8.68E-02,8.04E-01,1.39E-03,2.46E+00,3.20E-03,3.10E-03
